# t[days]  RBER_PE_0  RBER_PE_3000  RBER_PE_10000
5.565748e+01  1.073539e-06  1.309208e-05  2.160451e-04
5.798758e+01  1.076508e-06  1.322153e-05  2.216014e-04
6.041523e+01  1.079593e-06  1.335640e-05  2.274463e-04
6.294452e+01  1.082798e-06  1.349692e-05  2.335965e-04
6.557969e+01  1.086126e-06  1.364332e-05  2.400693e-04
6.832519e+01  1.089584e-06  1.379584e-05  2.468835e-04
7.118562e+01  1.093174e-06  1.395476e-05  2.540587e-04
7.416581e+01  1.096902e-06  1.412032e-05  2.616160e-04
7.727077e+01  1.100773e-06  1.429282e-05  2.695778e-04
8.050571e+01  1.104791e-06  1.447254e-05  2.779677e-04
8.387608e+01  1.108962e-06  1.465978e-05  2.868110e-04
8.738756e+01  1.113292e-06  1.485486e-05  2.961345e-04
9.104604e+01  1.117784e-06  1.505811e-05  3.059669e-04
9.485769e+01  1.122446e-06  1.526987e-05  3.163385e-04
9.882891e+01  1.127282e-06  1.549049e-05  3.272816e-04
1.029664e+02  1.132298e-06  1.572035e-05  3.388306e-04
1.072771e+02  1.137502e-06  1.595984e-05  3.510222e-04
1.117682e+02  1.142897e-06  1.620935e-05  3.638953e-04
1.164474e+02  1.148492e-06  1.646930e-05  3.774914e-04
1.213225e+02  1.154292e-06  1.674014e-05  3.918548e-04
1.264017e+02  1.160304e-06  1.702231e-05  4.070324e-04
1.316935e+02  1.166535e-06  1.731630e-05  4.230743e-04
1.372068e+02  1.172992e-06  1.762260e-05  4.400340e-04
1.429510e+02  1.179681e-06  1.794172e-05  4.579682e-04
1.489356e+02  1.186610e-06  1.827420e-05  4.769375e-04
1.551708e+02  1.193786e-06  1.862060e-05  4.970065e-04
1.616671e+02  1.201218e-06  1.898150e-05  5.182439e-04
1.684353e+02  1.208911e-06  1.935752e-05  5.407230e-04
1.754868e+02  1.216875e-06  1.974927e-05  5.645218e-04
1.828336e+02  1.225118e-06  2.015742e-05  5.897236e-04
1.904879e+02  1.233647e-06  2.058266e-05  6.164170e-04
1.984627e+02  1.242471e-06  2.102571e-05  6.446967e-04
2.067713e+02  1.251598e-06  2.148730e-05  6.746634e-04
2.154278e+02  1.261037e-06  2.196821e-05  7.064245e-04
2.244467e+02  1.270796e-06  2.246926e-05  7.400948e-04
2.338432e+02  1.280885e-06  2.299129e-05  7.757962e-04
2.436331e+02  1.291312e-06  2.353517e-05  8.136591e-04
2.538328e+02  1.302088e-06  2.410182e-05  8.538225e-04
2.644595e+02  1.313220e-06  2.469219e-05  8.964345e-04
2.755311e+02  1.324719e-06  2.530728e-05  9.416530e-04
2.870662e+02  1.336594e-06  2.594812e-05  9.896467e-04
2.990842e+02  1.348855e-06  2.661579e-05  1.040595e-03
3.116054e+02  1.361511e-06  2.731141e-05  1.094690e-03
3.246508e+02  1.374574e-06  2.803616e-05  1.152137e-03
3.382423e+02  1.388053e-06  2.879124e-05  1.213152e-03
3.524028e+02  1.401958e-06  2.957794e-05  1.277970e-03
3.671562e+02  1.416301e-06  3.039757e-05  1.346838e-03
3.825272e+02  1.431090e-06  3.125151e-05  1.420021e-03
3.985417e+02  1.446339e-06  3.214121e-05  1.497803e-03
4.152267e+02  1.462056e-06  3.306815e-05  1.580484e-03
4.326102e+02  1.478253e-06  3.403390e-05  1.668386e-03
4.507214e+02  1.494943e-06  3.504008e-05  1.761853e-03
4.695909e+02  1.512134e-06  3.608838e-05  1.861251e-03
4.892503e+02  1.529840e-06  3.718057e-05  1.966971e-03
5.097328e+02  1.548072e-06  3.831849e-05  2.079431e-03
5.310728e+02  1.566842e-06  3.950404e-05  2.199075e-03
5.533062e+02  1.586161e-06  4.073923e-05  2.326378e-03
5.764703e+02  1.606042e-06  4.202613e-05  2.461848e-03
6.006043e+02  1.626497e-06  4.336691e-05  2.606026e-03
6.257486e+02  1.647537e-06  4.476381e-05  2.759490e-03
6.519456e+02  1.669177e-06  4.621920e-05  2.922855e-03
6.792393e+02  1.691428e-06  4.773552e-05  3.096780e-03
7.076757e+02  1.714304e-06  4.931532e-05  3.281967e-03
7.373026e+02  1.737817e-06  5.096125e-05  3.479165e-03
7.681698e+02  1.761980e-06  5.267610e-05  3.689174e-03
8.003292e+02  1.786808e-06  5.446274e-05  3.912848e-03
8.338351e+02  1.812313e-06  5.632417e-05  4.151099e-03
8.687436e+02  1.838510e-06  5.826353e-05  4.404899e-03
9.051136e+02  1.865412e-06  6.028409e-05  4.675286e-03
9.430062e+02  1.893034e-06  6.238923e-05  4.963370e-03
9.824852e+02  1.921390e-06  6.458251e-05  5.270333e-03
1.023617e+03  1.950495e-06  6.686761e-05  5.597438e-03
1.066471e+03  1.980363e-06  6.924837e-05  5.946034e-03
1.111119e+03  2.011010e-06  7.172881e-05  6.317560e-03
1.157636e+03  2.042451e-06  7.431309e-05  6.713552e-03
1.206100e+03  2.074701e-06  7.700556e-05  7.135651e-03
1.256593e+03  2.107777e-06  7.981075e-05  7.585608e-03
1.309201e+03  2.141694e-06  8.273338e-05  8.065291e-03
1.364011e+03  2.176468e-06  8.577836e-05  8.576697e-03
1.421115e+03  2.212118e-06  8.895083e-05  9.121956e-03
1.480610e+03  2.248659e-06  9.225611e-05  9.703341e-03
1.542596e+03  2.286108e-06  9.569976e-05  1.032328e-02
1.607177e+03  2.324483e-06  9.928758e-05  1.098437e-02
1.674461e+03  2.363803e-06  1.030256e-04  1.168938e-02
1.744562e+03  2.404085e-06  1.069201e-04  1.244125e-02
1.817599e+03  2.445347e-06  1.109777e-04  1.324315e-02
1.893692e+03  2.487609e-06  1.152051e-04  1.409844e-02
1.972972e+03  2.530890e-06  1.196095e-04  1.501071e-02
2.055570e+03  2.575209e-06  1.241984e-04  1.598381e-02
2.141627e+03  2.620586e-06  1.289793e-04  1.702184e-02
2.231286e+03  2.667042e-06  1.339603e-04  1.812917e-02
2.324699e+03  2.714597e-06  1.391500e-04  1.931047e-02
