# LET[MeV*cm2/mg]   sigma_DRAM_28nm[cm2/bit]   sigma_SRAM_28nm[cm2/bit]   sigma_NAND_TLC[cm2/bit]
2.851018e+00  1.782275e-10  2.872300e-09  0.000000e+00
2.951209e+00  1.962982e-10  3.095006e-09  0.000000e+00
3.054921e+00  2.152315e-10  3.326384e-09  0.000000e+00
3.162278e+00  2.350123e-10  3.566042e-09  0.000000e+00
3.273407e+00  2.556205e-10  3.813495e-09  0.000000e+00
3.388442e+00  2.770306e-10  4.068161e-09  0.000000e+00
3.507519e+00  2.992114e-10  4.329357e-09  0.000000e+00
3.630781e+00  3.221252e-10  4.596295e-09  0.000000e+00
3.758374e+00  3.457282e-10  4.868083e-09  0.000000e+00
3.890451e+00  3.699696e-10  5.143727e-09  0.000000e+00
4.027170e+00  3.947918e-10  5.422135e-09  0.000000e+00
4.168694e+00  4.201303e-10  5.702121e-09  0.000000e+00
4.315191e+00  4.459135e-10  5.982412e-09  0.000000e+00
4.466836e+00  4.720631e-10  6.261667e-09  0.000000e+00
4.623810e+00  4.984940e-10  6.538484e-09  0.000000e+00
4.786301e+00  5.251148e-10  6.811422e-09  0.000000e+00
4.954502e+00  5.518287e-10  7.079022e-09  0.000000e+00
5.128614e+00  5.785334e-10  7.339827e-09  0.000000e+00
5.308844e+00  6.051226e-10  7.592412e-09  0.000000e+00
5.495409e+00  6.314868e-10  7.835410e-09  0.000000e+00
5.688529e+00  6.575142e-10  8.067539e-09  0.000000e+00
5.888437e+00  6.830923e-10  8.287635e-09  0.000000e+00
6.095369e+00  7.081093e-10  8.494676e-09  0.000000e+00
6.309573e+00  7.324553e-10  8.687809e-09  0.000000e+00
6.531306e+00  7.560247e-10  8.866375e-09  0.000000e+00
6.760830e+00  7.787170e-10  9.029927e-09  0.000000e+00
6.998420e+00  8.004391e-10  9.178238e-09  0.000000e+00
7.244360e+00  8.211069e-10  9.311314e-09  0.000000e+00
7.498942e+00  8.406467e-10  9.429387e-09  0.000000e+00
7.762471e+00  8.589970e-10  9.532912e-09  0.000000e+00
8.035261e+00  8.761093e-10  9.622542e-09  1.854244e-17
8.317638e+00  8.919497e-10  9.699112e-09  9.689535e-16
8.609938e+00  9.064990e-10  9.763604e-09  3.132336e-15
8.912509e+00  9.197537e-10  9.817111e-09  6.457389e-15
9.225714e+00  9.317255e-10  9.860802e-09  1.095837e-14
9.549926e+00  9.424410e-10  9.895879e-09  1.667055e-14
9.885531e+00  9.519412e-10  9.923539e-09  2.363915e-14
1.023293e+01  9.602797e-10  9.944939e-09  3.191441e-14
1.059254e+01  9.675218e-10  9.961164e-09  4.154879e-14
1.096478e+01  9.737421e-10  9.973206e-09  5.259487e-14
1.135011e+01  9.790225e-10  9.981941e-09  6.510365e-14
1.174898e+01  9.834503e-10  9.988127e-09  7.912290e-14
1.216186e+01  9.871152e-10  9.992397e-09  9.469555e-14
1.258925e+01  9.901075e-10  9.995266e-09  1.118581e-13
1.303167e+01  9.925157e-10  9.997139e-09  1.306387e-13
1.348963e+01  9.944247e-10  9.998324e-09  1.510559e-13
1.396368e+01  9.959141e-10  9.999051e-09  1.731163e-13
1.445440e+01  9.970567e-10  9.999481e-09  1.968128e-13
1.496236e+01  9.979179e-10  9.999727e-09  2.221230e-13
1.548817e+01  9.985549e-10  9.999862e-09  2.490074e-13
1.603245e+01  9.990171e-10  9.999933e-09  2.774073e-13
1.659587e+01  9.993455e-10  9.999969e-09  3.072438e-13
1.717908e+01  9.995738e-10  9.999986e-09  3.384161e-13
1.778279e+01  9.997289e-10  9.999994e-09  3.708006e-13
1.840772e+01  9.998318e-10  9.999998e-09  4.042509e-13
1.905461e+01  9.998983e-10  9.999999e-09  4.385969e-13
1.972423e+01  9.999402e-10  1.000000e-08  4.736462e-13
2.041738e+01  9.999659e-10  1.000000e-08  5.091850e-13
2.113489e+01  9.999811e-10  1.000000e-08  5.449802e-13
2.187762e+01  9.999899e-10  1.000000e-08  5.807826e-13
2.264644e+01  9.999947e-10  1.000000e-08  6.163305e-13
2.344229e+01  9.999974e-10  1.000000e-08  6.513544e-13
2.426610e+01  9.999987e-10  1.000000e-08  6.855825e-13
2.511886e+01  9.999994e-10  1.000000e-08  7.187470e-13
2.600160e+01  9.999997e-10  1.000000e-08  7.505904e-13
2.691535e+01  9.999999e-10  1.000000e-08  7.808731e-13
2.786121e+01  1.000000e-09  1.000000e-08  8.093796e-13
2.884032e+01  1.000000e-09  1.000000e-08  8.359261e-13
2.985383e+01  1.000000e-09  1.000000e-08  8.603653e-13
3.090295e+01  1.000000e-09  1.000000e-08  8.825924e-13
3.198895e+01  1.000000e-09  1.000000e-08  9.025476e-13
3.311311e+01  1.000000e-09  1.000000e-08  9.202185e-13
3.427678e+01  1.000000e-09  1.000000e-08  9.356392e-13
3.548134e+01  1.000000e-09  1.000000e-08  9.488885e-13
3.672823e+01  1.000000e-09  1.000000e-08  9.600852e-13
3.801894e+01  1.000000e-09  1.000000e-08  9.693818e-13
3.935501e+01  1.000000e-09  1.000000e-08  9.769573e-13
4.073803e+01  1.000000e-09  1.000000e-08  9.830082e-13
4.216965e+01  1.000000e-09  1.000000e-08  9.877396e-13
4.365158e+01  1.000000e-09  1.000000e-08  9.913563e-13
4.518559e+01  1.000000e-09  1.000000e-08  9.940549e-13
4.677351e+01  1.000000e-09  1.000000e-08  9.960175e-13
4.841724e+01  1.000000e-09  1.000000e-08  9.974062e-13
5.011872e+01  1.000000e-09  1.000000e-08  9.983606e-13
5.188000e+01  1.000000e-09  1.000000e-08  9.989965e-13
5.370318e+01  1.000000e-09  1.000000e-08  9.994063e-13
5.559043e+01  1.000000e-09  1.000000e-08  9.996613e-13
5.754399e+01  1.000000e-09  1.000000e-08  9.998141e-13
5.956621e+01  1.000000e-09  1.000000e-08  9.999021e-13
6.165950e+01  1.000000e-09  1.000000e-08  9.999507e-13
6.382635e+01  1.000000e-09  1.000000e-08  9.999763e-13
6.606934e+01  1.000000e-09  1.000000e-08  9.999892e-13
6.839116e+01  1.000000e-09  1.000000e-08  9.999953e-13
7.079458e+01  1.000000e-09  1.000000e-08  9.999981e-13
7.328245e+01  1.000000e-09  1.000000e-08  9.999993e-13
7.585776e+01  1.000000e-09  1.000000e-08  9.999997e-13
7.852356e+01  1.000000e-09  1.000000e-08  9.999999e-13
8.128305e+01  1.000000e-09  1.000000e-08  1.000000e-12
8.413951e+01  1.000000e-09  1.000000e-08  1.000000e-12
8.709636e+01  1.000000e-09  1.000000e-08  1.000000e-12
9.015711e+01  1.000000e-09  1.000000e-08  1.000000e-12
9.332543e+01  1.000000e-09  1.000000e-08  1.000000e-12
9.660509e+01  1.000000e-09  1.000000e-08  1.000000e-12
1.000000e+02  1.000000e-09  1.000000e-08  1.000000e-12
